N;S1;S2;Delta
16413;10.28308;10.28308;4.768372e-07
16414;10.28314;10.28314;4.768372e-07
16415;10.2832;10.2832;3.576279e-07
16416;10.28326;10.28326;3.576279e-07
16417;10.28332;10.28332;3.576279e-07
16418;10.28338;10.28339;3.576279e-07
16419;10.28344;10.28345;3.576279e-07
16420;10.2835;10.28351;3.576279e-07
16421;10.28356;10.28357;3.576279e-07
16422;10.28363;10.28363;2.980232e-07
16423;10.28369;10.28369;2.980232e-07
16424;10.28375;10.28375;2.980232e-07
16425;10.28381;10.28381;2.980232e-07
16426;10.28387;10.28387;2.980232e-07
16427;10.28393;10.28393;2.980232e-07
16428;10.28399;10.28399;1.788139e-07
16429;10.28405;10.28405;1.788139e-07
16430;10.28411;10.28412;1.788139e-07
16431;10.28417;10.28418;1.788139e-07
16432;10.28424;10.28424;1.788139e-07
16433;10.2843;10.2843;1.788139e-07
16434;10.28436;10.28436;1.192093e-07
16435;10.28442;10.28442;1.192093e-07
16436;10.28448;10.28448;1.192093e-07
16437;10.28454;10.28454;1.192093e-07
16438;10.2846;10.2846;1.192093e-07
16439;10.28466;10.28466;0
16440;10.28472;10.28472;0
16441;10.28479;10.28479;0
16442;10.28485;10.28485;0
16443;10.28491;10.28491;1.192093e-07
16444;10.28497;10.28497;1.192093e-07
16445;10.28503;10.28503;1.192093e-07
16446;10.28509;10.28509;1.192093e-07
16447;10.28515;10.28515;2.384186e-07
16448;10.28521;10.28521;2.384186e-07
16449;10.28527;10.28527;2.384186e-07
16450;10.28533;10.28533;2.384186e-07
16451;10.2854;10.28539;2.384186e-07
16452;10.28546;10.28545;2.384186e-07
16453;10.28552;10.28551;2.384186e-07
16454;10.28558;10.28558;2.384186e-07
16455;10.28564;10.28564;3.576279e-07
16456;10.2857;10.2857;3.576279e-07
16457;10.28576;10.28576;3.576279e-07
16458;10.28582;10.28582;4.768372e-07
16459;10.28588;10.28588;4.768372e-07
16460;10.28594;10.28594;4.768372e-07
16461;10.28601;10.286;4.768372e-07
16462;10.28607;10.28606;5.960464e-07
16463;10.28613;10.28612;5.960464e-07
16464;10.28619;10.28618;5.960464e-07
16465;10.28625;10.28624;5.960464e-07
16466;10.28631;10.2863;5.960464e-07
16467;10.28637;10.28637;5.960464e-07
16468;10.28643;10.28643;5.960464e-07
16469;10.28649;10.28649;7.152557e-07
16470;10.28656;10.28655;7.152557e-07
16471;10.28662;10.28661;7.152557e-07
16472;10.28668;10.28667;8.34465e-07
16473;10.28674;10.28673;8.34465e-07
16474;10.2868;10.28679;8.34465e-07
16475;10.28686;10.28685;9.536743e-07
16476;10.28692;10.28691;9.536743e-07
16477;10.28698;10.28697;1.072884e-06
16478;10.28704;10.28703;1.072884e-06
16479;10.2871;10.28709;1.072884e-06
16480;10.28717;10.28715;1.072884e-06
16481;10.28723;10.28722;1.072884e-06
16482;10.28729;10.28728;1.072884e-06
16483;10.28735;10.28734;1.192093e-06
16484;10.28741;10.2874;1.192093e-06
16485;10.28747;10.28746;1.192093e-06
16486;10.28753;10.28752;1.311302e-06
16487;10.28759;10.28758;1.311302e-06
16488;10.28765;10.28764;1.430511e-06
16489;10.28771;10.2877;1.430511e-06
16490;10.28778;10.28776;1.430511e-06
16491;10.28784;10.28782;1.430511e-06
16492;10.2879;10.28788;1.430511e-06
16493;10.28796;10.28794;1.549721e-06
16494;10.28802;10.288;1.549721e-06
